season,round,circuit_id,date,url,driver,date_of_birth,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,russell,1998-02-15,British,williams,16,15,0.0,0.0,19.0,0.0,0.0,10.0,1:45.062
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,grosjean,1986-04-17,French,haas,14,18,0.0,0.0,17.0,8.0,0.0,6.0,1:43.407
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,kvyat,1994-04-26,Russian,toro_rosso,6,19,1.0,0.0,15.0,4.0,0.0,9.0,1:41.681
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,ricciardo,1989-07-01,Australian,renault,10,20,6.0,0.0,11.0,12.0,0.0,4.0,1:42.477
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,hamilton,1985-01-07,British,mercedes,2,1,86.0,2.0,2.0,173.0,4.0,1.0,1:16.040
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,bottas,1989-08-28,Finnish,mercedes,1,2,87.0,2.0,1.0,173.0,4.0,1.0,1:15.406
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,max_verstappen,1997-09-30,Dutch,red_bull,4,3,51.0,0.0,4.0,64.0,0.0,3.0,1:16.357
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,vettel,1987-07-03,German,ferrari,3,4,52.0,0.0,3.0,99.0,0.0,2.0,1:16.272
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,leclerc,1997-10-16,Monegasque,ferrari,5,5,47.0,0.0,5.0,99.0,0.0,2.0,1:16.588
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,gasly,1996-02-07,French,red_bull,6,6,13.0,0.0,7.0,64.0,0.0,3.0,1:16.708
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,kevin_magnussen,1992-10-05,Danish,haas,8,7,8.0,0.0,10.0,8.0,0.0,8.0,1:16.922
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,sainz,1994-09-01,Spanish,mclaren,12,8,6.0,0.0,12.0,18.0,0.0,4.0,1:17.599
